bobashopname,rating
99% Tea House,4.5
One Tea,4.5
Royaltea USA,4
TECO Tea & Coffee Bar,4.5
T-LAB,4
Q-Tea Monster,4
Gong Cha,4
Happy Lemon,4.5
Factory Tea Bar,3.5
Super Cue Cafe,3.5
Milk and Honey Cafe,3.5
Tea Island,4
Taro Taro Dessert & Tea House,3.5
i-Tea,3.5
i-Tea,4
Sharetea,4
uRbain tea,3.5
MandRo Teahouse,4
Gong Cha,4
Tea Six,3.5
Tata Teahouse,3
Tea Station,3.5
Sno-Crave Tea House,3
Boba Queen,3.5
T4 Tea,3.5
Boba Fitt Drinks,3.5
Sweet Home Cafe,3.5
Tea Era,4
Teaspoon,4
T4,3.5
My Delights,4
T4,3
Sno-Crave Teahouse,4
Sharetea,3.5
Tastea,4
i-Tea,4
CaFace,3.5
Tea Villa,4
Mr Green Bubble,3.5
Pop Tea Bar,4
i-Tea,4
Joy 4 Tea,3.5
Sweet CoCo,4
Icy Blue,3.5
TeaTop,4.5
Ten Ren Tea Co of Milpitas,4.5
Fantasia Coffee & Tea,4
Tapioca Express,3.5
Gong Cha,4
Sharetea,4
Boba Guys,4
Boba Guys,4
Wonderful Dessert & Cafe,4
Little Sweet,4
Teaspoon,4
Boba Guys,4
i-Tea,4.5
Boba Guys,4
Plentea - San Francisco,3.5
Steap Tea Bar,4.5
Purple Kow,3.5
OMG Tea,4.5
Asha Tea House,4
Super Cue Cafe,4
Boba Guys,4
InfiniTea,4
STEEP,4
Mr. T Cafe,4
Tpumps,3.5
TJ Cups,4
Wondertea,4.5
The Boba Shop,4.5
STEEP Creamery & Tea,4
Bubblecup,3.5
Sweet A Little,4.5
Tea Hut,4.5
i-Tea,3.5
Tancca,4.5
Sharetea,3.5
Mi-Tea,3.5
BB Tea Station,3.5
Tea FM,3.5
Keep it,4.5
Mr & Mrs Tea House,3.5
E Tea,3.5
Gosu,3.5
Homeplate Boba,4
Cuppa,3.5
Super Cue Cafe,3.5
Puppy Bobar,5
Cool Tea Bar,3.5
Little Heaven Deli,4.5
5 Sweets,4.5
Good Earth Cafe,4.5
Sweethut,3.5
FrosTea,3.5
Teaone,3.5
Fifty / Fifty Coffee and Tea,4
Honey Creme &Tea,3.5
BAMBU,4
i-Tea,4
Mr Green Bubble,3.5
T&Bowl,4
U Cha,4
The Sweet Booth,4
Asha Tea House,4
i-Tea,4
T4,3
Wing Man,4
Sharetea,4
Happy Lemon Berkeley,4
Milk Tea Lab,4
Boba Ninja,4
Sharetea,3.5
Purple Kow,3.5
Teaway,3.5
i-Tea,4
Sweetheart Cafe,3.5
Gelato Firenze and QTea Bar,4
Tea Delight,4
Quickly,4.5
i-Tea,4
50 Tea,3.5
Tea Press,4
Taiwan Bento,4
U Tea Cafe,3
T4,3.5
Teazzert,3.5
QTeaBar,5
The Burrow,4.5
Sweet Belly,4.5
Sancha Bar,2.5
Alice Street Bakery Café,4.5
T4,3.5
Quickly,3.5
Bubble Tea Share Time,4
Shooting Star Cafe,3.5
Pekoe,4
Tea Lyfe Drinks,4
Teahee,4
Boba Pub,4
Teaspoon,4
Passion-T Snacks and Desserts,4
"Pop Up Tea, Coffee & Snacks",4
Happy Lemon,4.5
Boba Bar,3.5
Sinceretea,4
Bobateani,5
Soyful Desserts,4
One Tea,4
i-Tea,4
The Tea Zone & Fruit Bar,3.5
Createave Cafe,4
Tleaf Teapresso,4
Katea,4.5
TeaTop,4
Bubbly,4
Vampire Penguin featuring Jastea,4
Simply Boba,4
Happy Lemon,4.5
Amor Cafe and Tea,4
Shincha Tea,4
Sharetea,4
ChaTime San Jose,4
Pure Tea Bar,3.5
T Spot Boba Drinks & Snacks,4
Meow Tea,4
Fantasia Coffee & Tea,3.5
Monster Boba,3.5
Teasociety,3.5
BFresh Snacks & Drinks,4
BeiBay Tea,4
Gong Cha,3.5
Sweet Gelato Tea Lounge,4.5
Sharetea,3.5
Gong Cha,3.5
Soyful Desserts,4
Oooh,4
The Tea Zone Lounge,4
The Moo Bar,3.5
Tapioca Express,4
Purple Kow,3.5
Heritage Eats,4.5
YoBelle,3.5
Morimoto Napa,4
Napa Noodles,3
Crave Cafe & Catering,3.5
Quickly,2.5
Top That Frozen Yogurt,3.5
Over The Top Shop Frozen Yogurt,2.5
Sushi Grill,4
Palm Thai Bistro,4.5
Green Bamboo Restaurant,3.5
Thai Kitchen,3.5
SactoMofo,3.5
Westea,4
BaoTea Cafe,4.5
i-Tea - Dublin,4
Aroma Tapioca Tea & Coffee,3.5
i-Tea,4
T4,3.5
Tea Factory,4
ICICLES,4
Sharetea,4
Cafe Tapioca,3.5
Quickly,3.5
LeTea,2.5
Tea Breeze,3
360 Crepes,4
T4,3.5
i-Tea,4
Snowflake,3.5
Quickly,2.5
Cafe Taiwan,4
Cafe Junction,4
O'Honey,4
The Mix Creamery,4
Tasty Pot,4
Ohana Hawaiian BBQ of Pleasanton,3
99 Ranch Market,3.5
Menchie's  Frozen Yogurt,4
Blossom Bee,4
Berry Delight,3
New Thai Bistro,4.5
Tutti Frutti Frozen Yogurt,3
Kee Wah Bakery,4
Blush Organic Frozen Yogurt,4
Koi Palace,3.5
Berry & Berry Yogurt,2.5
Pho Saigon City,3
Yogurtland,4
Lee's Sandwiches,3.5
Osaka Ramen,3
Pho 99,4
Tandoori Pizza,4
Halu Shabu Shabu,3
Amakara,4
Pho Saigon Garden,3.5
Pho Saigon Noodle House,3.5
85°C Bakery Cafe,3.5
BlackBall Desserts-Union City,3.5
Tasty Pot,4
ICICLES,4
Che-Lo,4.5
Fusion Mix Frozen Yogurt,4.5
Crepe Bar,4
Q Cup,3
BAMBU,3.5
BAMBU,3.5
Storm Crepes,4.5
Sweet Orchid,4.5
Jenjon's Cafe,4
K-Pop Cafe,4
Milkcow,3.5
Boba Guys,4
Teaquation,4.5
T4,3.5
Sweet Spot,4.5
Teaster,3.5
Sharetea,4
Chatime,4
Eko Coffee Bar & Tea House,4
Tea Era,4
Fantasia Coffee & Tea,4
Tpumps,3.5
Super Cue Cafe,3.5
Happy Lemon,4.5
Ten Ren Tea,4
Meet Fresh,3
Hechaa,3.5
Calibear Cyber Cafe,4.5
Happy Lemon,4.5
What8ver Express,3.5
Gong Cha,4.5
Cafe LaTTea,3.5
T4 Cupertino,4
Sharetea,4
Tea Chansii,3
Verde Tea House,3.5
Bubble Tea Time,4
The Tea Zone & Fruit Bar,4.5
Teaspoon,4
Beastea,4
Teaspoon,3.5
Tea Annie,4
Verde Tea Cafe,3.5
TeaFans,3.5
85°C Bakery Cafe,3.5
Matcha Love,4
BAMBU,3.5
Icicles,4
Sunnywich Cafe,4.5
Ocha Tea Café & Restaurant,3.5
Bubble Bay Tea,3.5
Jazen Tea,3.5
Comebuy Tea & Coffee,3.5
Music Tunnel KTV Cafe,3.5
Jazen Tea,3.5
Butterfly,4
Quickly,3
California Mochi,4
T4 Livermore,4
Orange Tea,4.5
Big Fat Straw Cafe,4
Donut Wheel,4
T4,3
Saigon Cafe,4
Rice Paper Bistro,3.5
Menchie's Frozen Yogurt,4
La Farfalla Bakery,4
Ice3 Creamery,4
Yogurt Shop,4
Bean Scene Cafe,4
Yogurtland,4
Chilly & Munch,4.5
Jazen Tea,3
T4,3.5
Pearl Cafe,3.5
Tapioca Express,3
Teaspoon,4.5
Teaspoon,4
Teasociety,3.5
T4,3.5
BCUTE tea drinks and finger foods,4
Poke Xpress,4.5
Happy Lemon,4
Yummi Tea Cafe,4
Sno-Crave Tea House,3.5
Sancha Bar,3.5
Chick & Tea,3.5
T4,3.5
Queen's Cafe,3.5
The Pennywort,4
BAMBU,4
Black Pearl,3
Happiness Cafe,4.5
85°C Bakery Cafe,3.5
Simpletea,3.5
BAMBU,3.5
Fantasia Coffee & Tea,3
Shihlin Taiwan Street Snacks,4
Quickly,2.5
Honeyberry,4.5
Aroma Coffee and Snacks,4
Teatime,4
Comebuy Drinks,4
Teaspoon,4
DAVIDsTEA,4.5
pokéLOVE,3.5
Bare Bowls,4
Tea Time,3.5
Chantal Guillon Macarons & Teas,4.5
Happy Donuts,3.5
Quickly,3.5
Fraiche,4
Quickly,3
Coupa Café,3.5
CREAM,3.5
Ohana Express,4
Yogurtland,4
Coupa Café - Lytton,3.5
Green Bakery & Café,3.5
Wild Berry Yogurt,3.5
The Posh Bagel,3.5
Paris Baguette,3.5
Taza Deli & Cafe,5
Rojoz Gourmet Wraps,3.5
Froyola,4
Mr. Green Bubble,5
Coupa Cafe - Green Library,3.5
Dohatsuten,3.5
Panda Express,2
Nekter Juice Bar,3.5
Green Leaf Asian Bistro & Cafe,4
Koma Sushi Restaurant,3.5
The Axe and Palm,2.5
Cocohodo,4
Hotpot First,3.5
Bean Scene,3.5
Sharetea,3.5
Jazen Tea Santa Clara,2.5
Honeyberry,3.5
World Wrapps 2.0,4.5
Youji Fresh Rolls Wine & Tea,2.5
Frozo's Frozen Yogurt,3.5
Cool Tea Bar,3.5
Tiger Tea & Juice,4.5
Aqua Club Dessert & Beverage,4.5
Bobabia,4
Happy Lemon,4
Eggettes,4
Tpumps,4
Teaspoon,4
Cha Express,4
Search Tea,4
Tea World,4
T4,3.5
i-Tea,5
Boba Dude,3.5
Eggettes,4
Gong Cha,3.5
BAMBU,3.5
Super Cue Cafe,3.5
BAMBU,4
Eggettes,4
Chatime,3.5
Tpumps,4
Creme Brewlee,4
Chatime,3.5
Quickly,3.5
Fresh Nation Desserts,3
Ya-Ua Yogurt & Boba Tea,4
Snacks,4.5
Dessert Republic,3.5
Mints & Honey,4.5
BAMBU,4.5
ICICLES,4
KingKat Bar & Eatery,4.5
Quickly,3.5
Antoine's Cookie Shop,4.5
Quickly,3
Moo Moo Yogurt,4
Clear Optometry,4
Boiling Point,3
CREAM,4
Poke Island CreAsian Kitchen,4
Waterfront Cafe,5
Never Too Latte,3.5
Jougert Bar,4.5
Mini Coffee,4
Sweet Indulgence,3
Ramen Dojo,4
Quickly,4.5
Bobo Drinks,3.5
T4 Tea For U,3
Peace Love & Boba,4
Halo Halo Bar & Boba Station,4
Quickly,2.5
Tutti Frutti,4
Sharetea,4
i-Tea,4
Quickly,3.5
TeaZenTea,4.5
Quickly,2.5
MandRo Teahouse,4
Tapioca Express,3
Okashi Fusion,4.5
Cafe Tapioca,4
Pho Saigon No 1 Vietnamese Restaurant,4
OnTap,4
T4,4
Bobaloca,3.5
Teabo Café,3.5
Lazi Cow,3.5
T4,4
T4 - Concord,3.5
Dragon Snow,3.5
CJ Fusion,3.5
Gong Cha,3.5
Suisun Seafood Center,3.5
TeaOne,3.5
Quickly Brentwood,4.5
T4,4
Bangkok Paradise,4
Easel,4.5
Sharetea Davis,3.5
The Old Teahouse,4
Pho Lee Hoa Phat,3.5
Skyview Noodle & Tea,4.5
Noodle House,3
SISIG,3
Rrags Caffe,4.5
Yumygurt,4
Vampire Penguin,3
Going Green,4.5
Quickly,3.5
Pho Lee Hoa Phat,3.5
Ice Monster,4
T4,3.5
CHALOGY Tea Bar,3.5
Mr. Green Bubble,3.5
Cool Tea Bar,4
Quickly,3
Quickly,2.5
T4 And Poke,3.5
i-Tea,4.5
Panache Caffe,4
Coco Swirl,4
Surf City Squeeze,3.5
Hello Pho,4
Harvest House,4
I Love Teriyaki & Sushi,3.5
Cornology,4.5
Saigon Bistro,3.5
99 Ranch Market,3.5
Double Rainbow Cafe,3.5
Blue Saigon,4.5
Jollibee,3
Pho Huynh Hiep 5 - Kevin's Noodle House,3.5
Pho Lee Hoa Phat,3.5
Pho Huynh Hiep 6 - Kevin's Noodle House,4
Smitten Ice Cream,3.5
Aung Maylika,4.5
IzzyA's Frozen Custard,4.5
Yogurtland,4
Golden Bakery,5
Tutti Frutti Montclair,4
Tangelo Frozen Yogurt,4.5
Surf City Squeeze,3.5
LV Vietnamese Pho and Sandwiches,4
Korea House,4
Yo Sushi,3.5
Lulu's Kitchen,4
Pho Hoa An,3
Saigon Bistro Restaurant,3.5
Pho Lee Hoa Phat,3.5
Viet Nam Noodle House,4
Little Hearty Noodle,3.5
Bubble Loca,3.5
Ten Ren Tea Co,4
Tala Coffee & Tea,3.5
Sharetea,3.5
TPartea Boba Drinks And Banh Mi,3.5
Sunny Day Sweet House,3.5
Aloha Pure Water Shaved Ice,4.5
World Wrapps,4.5
Quickly,3
Tay Tah Cafe,3.5
Sweetheart Cafe,3.5
TeaOne Berkeley,3.5
Quickly - Kobe Bento,2
Quickly,3
Sivan's Cafe,4.5
Honey Bear Smoothie Tea & Dessert,5
Sharetea,4
T4,3.5
Quickly,2.5
8-Twelve Oriental Market,4
Polaris Ice Cream Rolls,4
Milkcow,3.5
Satori Tea Company,3.5
Creative Sips,4
Saratoga Bagels,4.5
Snowflake,3.5
Steepers,4.5
YoDo Yogurt,3.5
Caffé Central,2.5
Bar Code,3
Jovie Coffee & Pho,3.5
Tous Les Jours,3.5
Menchie's Frozen Yogurt,4.5
Starbread Bakery,4.5
Pho #1,4
Sunshine Bakery,3
Original Red Onion,3
Yo Sushi,3.5
Midori Japanese Cuisine,3.5
Pho Lee Hoa Phat,3
Pho Saigon Village Noodle House,4.5
Pho Lee Hoa Phat 2,3
Chowking,3
Tacos Jalisco,4
Menchie's Frozen Yogurt,4
Fashion Wok,4
Pho New Saigon,3.5
Hongry Kong,3.5
Marina Food,3
Cooking Papa Restaurant,3.5
Sheng Kee Bakery,3
Eat On Monday,4.5
Pho Little Saigon,3
Myung Dong Tofu Cabin,3.5
Bagel Street Cafe,3
East 14th Bakery & Cafe,3.5
Tapioca Express,3.5
Quickly,2.5
Sweethoney Dessert,3.5
Hanoi Chicken Noodle,3.5
Loving Tea,2
Cafe Sorriso,4
D T Dim Sum & Tea,3.5
Milk & Cookie Bar,4.5
Sweet Dee Cupcakes & Snow Ice,4
Quickly,3.5
Tapioca Express,3.5
Leisure Cafe,2.5
Quickly,3
China Kitchen Express,2
Pho An Hoa,3.5
Tuttimelon,3.5
Banh Mi Ba Le,4.5
Pokeatery,4.5
Hot Spot,3.5
World's Fare Donuts,4.5
Taqueria Los Pericos,4
Pho Anh-Ha,3.5
Craw Station,3.5
R & D Cafe,4
Munch,4
Foodnet Supermarket,3.5
Yo Bowl,4
Yogurt Hill,4
Alohana Hawaiian Grill,3
